,Name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats
46,Maruti Alto 800 VXI,2020,250999,30000,Petrol,Individual,Manual,First Owner,22.0,796.0,47.0,69.0,5.0
47,Maruti Alto 800 VXI,2020,360000,5000,Petrol,Individual,Manual,First Owner,22.0,796.0,47.0,69.0,5.0
48,Maruti Alto 800 VXI Plus,2020,370000,15000,Petrol,Individual,Manual,First Owner,22.0,796.0,47.0,69.0,5.0
49,Maruti Alto K10 VXI,2020,390000,6000,Petrol,Individual,Manual,First Owner,23.0,998.0,67.0,90.0,5.0
50,Maruti Baleno Alpha,2020,749000,5500,Petrol,Individual,Manual,First Owner,21.0,1197.0,81.0,113.0,5.0
51,Maruti Baleno Delta,2020,630000,5000,Petrol,Individual,Manual,First Owner,21.0,1197.0,81.0,113.0,5.0
52,Maruti Baleno Delta,2020,650000,7300,Petrol,Individual,Manual,First Owner,21.0,1197.0,81.0,113.0,5.0
53,Maruti Celerio VXI,2020,475000,13000,Petrol,Individual,Manual,First Owner,21.0,998.0,67.0,90.0,5.0
54,Maruti Celerio X ZXI,2020,250000,120000,Petrol,Individual,Manual,Second Owner,21.0,998.0,67.0,90.0,5.0
55,Maruti Celerio ZXI,2020,420000,25000,Petrol,Individual,Manual,First Owner,21.0,998.0,67.0,90.0,5.0
56,Maruti Dzire LXI,2020,550000,15000,Petrol,Individual,Manual,First Owner,23.0,1197.0,88.0,113.0,5.0
57,Maruti Dzire VXI,2020,580000,70000,Petrol,Individual,Manual,First Owner,23.0,1197.0,88.0,113.0,5.0
58,Maruti Dzire ZXI,2020,700000,20000,Petrol,Individual,Manual,First Owner,23.0,1197.0,88.0,113.0,5.0
59,Maruti Eeco 5 Seater AC BSIV,2020,415000,15000,Petrol,Individual,Manual,First Owner,15.0,1196.0,73.0,101.0,5.0
60,Maruti Eeco CNG 5 Seater AC,2020,409999,35000,CNG,Individual,Manual,First Owner,20.0,1196.0,61.0,85.0,5.0
61,Maruti Eeco CNG 5 Seater AC BSIV,2020,399000,5000,CNG,Individual,Manual,First Owner,21.0,1196.0,61.0,85.0,5.0
62,Maruti Ignis Zeta AMT,2020,600000,5000,Petrol,Individual,Automatic,First Owner,20.0,1197.0,81.0,113.0,5.0
63,Maruti Ignis Zeta AMT,2020,600000,5000,Petrol,Individual,Automatic,First Owner,20.0,1197.0,81.0,113.0,5.0
64,Maruti Swift AMT VXI,2020,654000,1000,Petrol,Individual,Automatic,First Owner,21.0,1197.0,81.0,113.0,5.0
65,Maruti Swift Dzire VXI 1.2,2020,730000,1500,Petrol,Individual,Manual,First Owner,21.0,1197.0,81.0,113.0,5.0
66,Maruti Swift LXI,2020,445000,1000,Petrol,Individual,Manual,First Owner,21.0,1197.0,81.0,113.0,5.0
67,Maruti Swift LXI,2020,445000,1000,Petrol,Individual,Manual,First Owner,21.0,1197.0,81.0,113.0,5.0
68,Maruti Swift VXI,2020,570000,5000,Petrol,Individual,Manual,First Owner,21.0,1197.0,81.0,113.0,5.0
69,Maruti Swift VXI,2020,600000,5000,Petrol,Individual,Manual,First Owner,21.0,1197.0,81.0,113.0,5.0
70,Maruti Swift VXI,2020,600000,5000,Petrol,Individual,Manual,First Owner,21.0,1197.0,81.0,113.0,5.0
71,Maruti Swift ZXI Plus,2020,578000,5000,Petrol,Individual,Manual,First Owner,21.0,1197.0,81.0,113.0,5.0
72,Maruti Vitara Brezza VDi,2020,810000,15000,Diesel,Individual,Manual,First Owner,24.0,1248.0,88.0,200.0,5.0
73,Maruti Vitara Brezza ZDi AMT,2020,925000,7400,Diesel,Individual,Automatic,First Owner,24.0,1248.0,88.0,200.0,5.0
74,Maruti Vitara Brezza ZXI Plus AT Dual Tone,2020,737000,10000,Petrol,Individual,Automatic,First Owner,18.0,1462.0,103.0,138.0,5.0
75,Maruti Wagon R LXI,2020,265000,70000,Petrol,Individual,Manual,Second Owner,21.0,998.0,67.0,90.0,5.0
76,MG Hector Sharp DCT Dualtone,2020,1900000,1600,Petrol,Dealer,Automatic,First Owner,13.0,1451.0,141.0,250.0,5.0
77,Tata Harrier XZ Plus,2020,1650000,16000,Diesel,Dealer,Manual,First Owner,17.0,1956.0,167.0,350.0,5.0
78,Tata Nexon 1.2 Revotron XM,2020,537000,5000,Petrol,Individual,Manual,First Owner,17.0,1198.0,108.0,170.0,5.0
79,Tata Nexon 1.2 Revotron XZ Plus,2020,919999,20000,Petrol,Individual,Manual,First Owner,17.0,1198.0,108.0,170.0,5.0
80,Tata Nexon 1.2 Revotron XZA Plus,2020,950000,5000,Petrol,Individual,Automatic,First Owner,17.0,1198.0,108.0,170.0,5.0
81,Tata Tiago 2019-2020 XZ,2020,500000,15000,Petrol,Individual,Manual,First Owner,23.0,1199.0,83.0,114.0,5.0
82,Tata Zest Revotron 1.2 XT,2020,500000,40000,Petrol,Individual,Manual,First Owner,17.0,1193.0,88.0,140.0,5.0
83,Tata Zest Revotron 1.2 XT,2020,500000,40000,Petrol,Individual,Manual,First Owner,17.0,1193.0,88.0,140.0,5.0
84,Tata Zest Revotron 1.2 XT,2020,500000,40000,Petrol,Individual,Manual,First Owner,17.0,1193.0,88.0,140.0,5.0
85,Tata Zest Revotron 1.2 XT,2020,500000,40000,Petrol,Individual,Manual,First Owner,17.0,1193.0,88.0,140.0,5.0
86,Toyota Fortuner 2.8 4WD AT BSIV,2020,3200000,3000,Diesel,Individual,Automatic,First Owner,15.0,2755.0,174.0,450.0,7.0
87,Toyota Innova Crysta 2.4 G MT 8 STR,2020,1560000,20102,Diesel,Dealer,Manual,First Owner,13.0,2393.0,147.0,343.0,8.0
88,Toyota Innova Crysta 2.4 ZX AT,2020,2300000,1000,Diesel,Individual,Automatic,First Owner,13.0,2393.0,147.0,360.0,7.0
89,Toyota Innova Crysta 2.7 GX AT 8 STR,2020,1500000,40000,Petrol,Individual,Automatic,First Owner,10.0,2694.0,163.0,245.0,8.0
90,Toyota Innova Crysta 2.7 GX AT 8 STR,2020,1500000,40000,Petrol,Individual,Automatic,First Owner,10.0,2694.0,163.0,245.0,8.0
91,Volkswagen Ameo 1.5 TDI Comfortline,2020,800000,25000,Diesel,Individual,Manual,First Owner,21.0,1498.0,108.0,250.0,5.0
92,Volkswagen Polo 1.0 TSI Highline Plus,2020,808000,5000,Petrol,Individual,Manual,First Owner,18.0,999.0,108.0,175.0,5.0
93,Volkswagen Polo 1.5 TDI Comfortline,2020,260000,50000,Diesel,Individual,Manual,First Owner,20.0,1498.0,88.0,230.0,5.0
94,Audi A6 35 TFSI Matrix,2019,6223000,7800,Petrol,Dealer,Automatic,Test Drive Car,15.0,1798.0,187.0,320.0,5.0
95,Audi A6 35 TFSI Matrix,2019,5923000,11500,Petrol,Dealer,Automatic,Test Drive Car,15.0,1798.0,187.0,320.0,5.0
96,Audi A6 35 TFSI Matrix,2019,6523000,23600,Petrol,Dealer,Automatic,Test Drive Car,15.0,1798.0,187.0,320.0,5.0
97,BMW 5 Series 520d Luxury Line,2019,5200000,10000,Diesel,Dealer,Automatic,First Owner,18.0,1995.0,190.0,400.0,5.0
98,BMW 5 Series 520d Luxury Line,2019,5200000,10000,Diesel,Dealer,Automatic,First Owner,18.0,1995.0,190.0,400.0,5.0
99,BMW X4 M Sport X xDrive20d,2019,5800000,7500,Diesel,Dealer,Automatic,First Owner,16.0,1995.0,190.0,400.0,5.0
100,BMW X4 M Sport X xDrive20d,2019,5400000,7500,Diesel,Dealer,Automatic,First Owner,16.0,1995.0,190.0,400.0,5.0
101,BMW X4 M Sport X xDrive20d,2019,5500000,8500,Diesel,Dealer,Automatic,First Owner,16.0,1995.0,190.0,400.0,5.0
102,BMW X4 M Sport X xDrive20d,2019,5400000,7500,Diesel,Dealer,Automatic,First Owner,16.0,1995.0,190.0,400.0,5.0
103,BMW X4 M Sport X xDrive20d,2019,5500000,8500,Diesel,Dealer,Automatic,First Owner,16.0,1995.0,190.0,400.0,5.0
104,BMW X4 M Sport X xDrive20d,2019,5400000,7500,Diesel,Dealer,Automatic,First Owner,16.0,1995.0,190.0,400.0,5.0
105,BMW X4 M Sport X xDrive20d,2019,5500000,8500,Diesel,Dealer,Automatic,First Owner,16.0,1995.0,190.0,400.0,5.0
106,BMW X4 M Sport X xDrive20d,2019,5400000,7500,Diesel,Dealer,Automatic,First Owner,16.0,1995.0,190.0,400.0,5.0
107,BMW X4 M Sport X xDrive20d,2019,5500000,8500,Diesel,Dealer,Automatic,First Owner,16.0,1995.0,190.0,400.0,5.0
108,BMW X4 M Sport X xDrive20d,2019,5400000,7500,Diesel,Dealer,Automatic,First Owner,16.0,1995.0,190.0,400.0,5.0
109,BMW X4 M Sport X xDrive20d,2019,5500000,8500,Diesel,Dealer,Automatic,First Owner,16.0,1995.0,190.0,400.0,5.0
110,BMW X4 M Sport X xDrive20d,2019,5400000,7500,Diesel,Dealer,Automatic,First Owner,16.0,1995.0,190.0,400.0,5.0
111,BMW X4 M Sport X xDrive20d,2019,5500000,8500,Diesel,Dealer,Automatic,First Owner,16.0,1995.0,190.0,400.0,5.0
112,BMW X4 M Sport X xDrive20d,2019,5400000,7500,Diesel,Dealer,Automatic,First Owner,16.0,1995.0,190.0,400.0,5.0
113,BMW X4 M Sport X xDrive20d,2019,5500000,8500,Diesel,Dealer,Automatic,First Owner,16.0,1995.0,190.0,400.0,5.0
114,BMW X4 M Sport X xDrive20d,2019,5400000,7500,Diesel,Dealer,Automatic,First Owner,16.0,1995.0,190.0,400.0,5.0
115,BMW X4 M Sport X xDrive20d,2019,5500000,8500,Diesel,Dealer,Automatic,First Owner,16.0,1995.0,190.0,400.0,5.0
116,BMW X4 M Sport X xDrive20d,2019,5400000,7500,Diesel,Dealer,Automatic,First Owner,16.0,1995.0,190.0,400.0,5.0
117,BMW X4 M Sport X xDrive20d,2019,5500000,8500,Diesel,Dealer,Automatic,First Owner,16.0,1995.0,190.0,400.0,5.0
118,BMW X4 M Sport X xDrive20d,2019,5400000,7500,Diesel,Dealer,Automatic,First Owner,16.0,1995.0,190.0,400.0,5.0
119,BMW X4 M Sport X xDrive20d,2019,5500000,8500,Diesel,Dealer,Automatic,First Owner,16.0,1995.0,190.0,400.0,5.0
120,BMW X4 M Sport X xDrive20d,2019,5400000,7500,Diesel,Dealer,Automatic,First Owner,16.0,1995.0,190.0,400.0,5.0
121,BMW X4 M Sport X xDrive20d,2019,5500000,8500,Diesel,Dealer,Automatic,First Owner,16.0,1995.0,190.0,400.0,5.0
122,BMW X4 M Sport X xDrive20d,2019,5400000,7500,Diesel,Dealer,Automatic,First Owner,16.0,1995.0,190.0,400.0,5.0
123,BMW X4 M Sport X xDrive20d,2019,5500000,8500,Diesel,Dealer,Automatic,First Owner,16.0,1995.0,190.0,400.0,5.0
124,BMW X4 M Sport X xDrive20d,2019,5400000,7500,Diesel,Dealer,Automatic,First Owner,16.0,1995.0,190.0,400.0,5.0
125,BMW X4 M Sport X xDrive20d,2019,5500000,8500,Diesel,Dealer,Automatic,First Owner,16.0,1995.0,190.0,400.0,5.0
126,BMW X4 M Sport X xDrive20d,2019,5400000,7500,Diesel,Dealer,Automatic,First Owner,16.0,1995.0,190.0,400.0,5.0
127,BMW X4 M Sport X xDrive20d,2019,5500000,8500,Diesel,Dealer,Automatic,First Owner,16.0,1995.0,190.0,400.0,5.0
128,BMW X4 M Sport X xDrive20d,2019,5400000,7500,Diesel,Dealer,Automatic,First Owner,16.0,1995.0,190.0,400.0,5.0
129,BMW X4 M Sport X xDrive20d,2019,5500000,8500,Diesel,Dealer,Automatic,First Owner,16.0,1995.0,190.0,400.0,5.0
130,BMW X4 M Sport X xDrive20d,2019,5400000,7500,Diesel,Dealer,Automatic,First Owner,16.0,1995.0,190.0,400.0,5.0
131,BMW X4 M Sport X xDrive20d,2019,5500000,8500,Diesel,Dealer,Automatic,First Owner,16.0,1995.0,190.0,400.0,5.0
132,BMW X4 M Sport X xDrive20d,2019,5400000,7500,Diesel,Dealer,Automatic,First Owner,16.0,1995.0,190.0,400.0,5.0
133,BMW X4 M Sport X xDrive20d,2019,5500000,8500,Diesel,Dealer,Automatic,First Owner,16.0,1995.0,190.0,400.0,5.0
134,BMW X4 M Sport X xDrive20d,2019,5400000,7500,Diesel,Dealer,Automatic,First Owner,16.0,1995.0,190.0,400.0,5.0
135,BMW X4 M Sport X xDrive20d,2019,5500000,8500,Diesel,Dealer,Automatic,First Owner,16.0,1995.0,190.0,400.0,5.0
136,BMW X4 M Sport X xDrive20d,2019,5400000,7500,Diesel,Dealer,Automatic,First Owner,16.0,1995.0,190.0,400.0,5.0
137,BMW X4 M Sport X xDrive20d,2019,5500000,8500,Diesel,Dealer,Automatic,First Owner,16.0,1995.0,190.0,400.0,5.0
138,BMW X4 M Sport X xDrive20d,2019,5400000,7500,Diesel,Dealer,Automatic,First Owner,16.0,1995.0,190.0,400.0,5.0
139,BMW X4 M Sport X xDrive20d,2019,5500000,8500,Diesel,Dealer,Automatic,First Owner,16.0,1995.0,190.0,400.0,5.0
140,BMW X4 M Sport X xDrive20d,2019,5400000,7500,Diesel,Dealer,Automatic,First Owner,16.0,1995.0,190.0,400.0,5.0
141,BMW X4 M Sport X xDrive20d,2019,5500000,8500,Diesel,Dealer,Automatic,First Owner,16.0,1995.0,190.0,400.0,5.0
142,BMW X4 M Sport X xDrive20d,2019,5400000,7500,Diesel,Dealer,Automatic,First Owner,16.0,1995.0,190.0,400.0,5.0
143,BMW X4 M Sport X xDrive20d,2019,5500000,8500,Diesel,Dealer,Automatic,First Owner,16.0,1995.0,190.0,400.0,5.0
144,BMW X4 M Sport X xDrive20d,2019,5400000,7500,Diesel,Dealer,Automatic,First Owner,16.0,1995.0,190.0,400.0,5.0
145,BMW X4 M Sport X xDrive20d,2019,5500000,8500,Diesel,Dealer,Automatic,First Owner,16.0,1995.0,190.0,400.0,5.0
146,BMW X4 M Sport X xDrive20d,2019,5400000,7500,Diesel,Dealer,Automatic,First Owner,16.0,1995.0,190.0,400.0,5.0
147,BMW X4 M Sport X xDrive20d,2019,5500000,8500,Diesel,Dealer,Automatic,First Owner,16.0,1995.0,190.0,400.0,5.0
148,BMW X4 M Sport X xDrive20d,2019,5400000,7500,Diesel,Dealer,Automatic,First Owner,16.0,1995.0,190.0,400.0,5.0
149,BMW X4 M Sport X xDrive20d,2019,5500000,8500,Diesel,Dealer,Automatic,First Owner,16.0,1995.0,190.0,400.0,5.0
150,BMW X4 M Sport X xDrive20d,2019,5400000,7500,Diesel,Dealer,Automatic,First Owner,16.0,1995.0,190.0,400.0,5.0
151,BMW X4 M Sport X xDrive20d,2019,5500000,8500,Diesel,Dealer,Automatic,First Owner,16.0,1995.0,190.0,400.0,5.0
152,BMW X4 M Sport X xDrive20d,2019,5400000,7500,Diesel,Dealer,Automatic,First Owner,16.0,1995.0,190.0,400.0,5.0
153,BMW X4 M Sport X xDrive20d,2019,5500000,8500,Diesel,Dealer,Automatic,First Owner,16.0,1995.0,190.0,400.0,5.0
154,BMW X4 M Sport X xDrive20d,2019,5400000,7500,Diesel,Dealer,Automatic,First Owner,16.0,1995.0,190.0,400.0,5.0
155,BMW X4 M Sport X xDrive20d,2019,5500000,8500,Diesel,Dealer,Automatic,First Owner,16.0,1995.0,190.0,400.0,5.0
156,BMW X4 M Sport X xDrive20d,2019,5400000,7500,Diesel,Dealer,Automatic,First Owner,16.0,1995.0,190.0,400.0,5.0
157,BMW X4 M Sport X xDrive20d,2019,5500000,8500,Diesel,Dealer,Automatic,First Owner,16.0,1995.0,190.0,400.0,5.0
158,BMW X4 M Sport X xDrive20d,2019,5800000,21000,Diesel,Dealer,Automatic,First Owner,16.0,1995.0,190.0,400.0,5.0
159,BMW X4 M Sport X xDrive20d,2019,5400000,7500,Diesel,Dealer,Automatic,First Owner,16.0,1995.0,190.0,400.0,5.0
160,BMW X4 M Sport X xDrive20d,2019,5500000,8500,Diesel,Dealer,Automatic,First Owner,16.0,1995.0,190.0,400.0,5.0
161,Datsun GO A Option Petrol,2019,500000,10000,Petrol,Individual,Manual,First Owner,19.0,1198.0,67.0,104.0,5.0
162,Datsun GO D Petrol,2019,300000,40000,Petrol,Individual,Manual,First Owner,19.0,1198.0,67.0,104.0,5.0
163,Datsun GO Plus T VDC,2019,590000,4000,Petrol,Individual,Manual,First Owner,19.0,1198.0,67.0,104.0,7.0
164,Datsun GO T Petrol,2019,459999,35000,Petrol,Individual,Manual,First Owner,19.0,1198.0,67.0,104.0,5.0
165,Datsun RediGO 1.0 T Option,2019,390000,10000,Petrol,Individual,Manual,First Owner,22.0,999.0,67.0,91.0,5.0
166,Datsun RediGO A,2019,270000,2300,Petrol,Individual,Manual,First Owner,22.0,799.0,53.0,72.0,5.0
167,Datsun RediGO SV 1.0,2019,325000,1300,Petrol,Individual,Manual,First Owner,22.0,999.0,67.0,91.0,5.0
168,Ford Aspire Titanium BSIV,2019,800000,33000,Petrol,Dealer,Manual,First Owner,19.0,1194.0,94.0,120.0,5.0
169,Ford Aspire Titanium BSIV,2019,675000,7000,Petrol,Individual,Manual,First Owner,19.0,1194.0,94.0,120.0,5.0
170,Ford Aspire Titanium BSIV,2019,675000,7000,Petrol,Individual,Manual,First Owner,19.0,1194.0,94.0,120.0,5.0
171,Ford Aspire Titanium BSIV,2019,575000,20000,Petrol,Individual,Manual,First Owner,19.0,1194.0,94.0,120.0,5.0
172,Ford Ecosport 1.5 Diesel Titanium,2019,950000,16034,Diesel,Dealer,Manual,First Owner,21.0,1498.0,98.0,215.0,5.0
173,Ford EcoSport 1.5 Diesel Titanium BSIV,2019,800000,30000,Diesel,Individual,Manual,Third Owner,23.0,1498.0,98.0,205.0,5.0
174,Ford EcoSport 1.5 Diesel Titanium BSIV,2019,975000,30000,Diesel,Individual,Manual,First Owner,23.0,1498.0,98.0,205.0,5.0
175,Ford EcoSport 1.5 Diesel Titanium BSIV,2019,975000,30000,Diesel,Individual,Manual,First Owner,23.0,1498.0,98.0,205.0,5.0
176,Ford EcoSport 1.5 Diesel Titanium BSIV,2019,960000,2600,Diesel,Individual,Manual,First Owner,23.0,1498.0,98.0,205.0,5.0
177,Ford EcoSport 1.5 Diesel Titanium Plus BSIV,2019,906000,30000,Diesel,Individual,Manual,First Owner,23.0,1498.0,98.0,205.0,5.0
178,Ford EcoSport 1.5 Diesel Titanium Plus BSIV,2019,1050000,26000,Diesel,Dealer,Manual,First Owner,23.0,1498.0,98.0,205.0,5.0
179,Ford EcoSport 1.5 Diesel Titanium Plus BSIV,2019,950000,20000,Diesel,Individual,Manual,First Owner,23.0,1498.0,98.0,205.0,5.0
180,Ford EcoSport 1.5 Diesel Trend BSIV,2019,900000,35000,Diesel,Individual,Manual,First Owner,23.0,1498.0,98.0,205.0,5.0
181,Ford EcoSport 1.5 Diesel Trend Plus BSIV,2019,869999,40000,Diesel,Individual,Manual,First Owner,23.0,1498.0,98.0,205.0,5.0
182,Ford EcoSport 1.5 Petrol Titanium BSIV,2019,885000,10000,Petrol,Individual,Manual,Second Owner,17.0,1497.0,121.0,150.0,5.0
183,Ford EcoSport S Diesel BSIV,2019,1145000,20000,Diesel,Individual,Manual,First Owner,23.0,1498.0,98.0,205.0,5.0
184,Ford Figo 1.2P Titanium MT,2019,675000,2789,Petrol,Dealer,Manual,First Owner,18.0,1196.0,86.0,112.0,5.0
185,Ford Figo 1.2P Titanium MT,2019,530000,9500,Petrol,Individual,Manual,First Owner,18.0,1196.0,86.0,112.0,5.0
186,Ford Figo 1.2P Titanium MT,2019,530000,9500,Petrol,Individual,Manual,First Owner,18.0,1196.0,86.0,112.0,5.0
187,Ford Figo Titanium Blu,2019,700000,3177,Petrol,Dealer,Manual,First Owner,18.0,1194.0,94.0,119.0,5.0
188,Ford Freestyle Titanium Diesel BSIV,2019,725000,17000,Diesel,Individual,Manual,First Owner,24.0,1498.0,98.0,215.0,5.0
189,Ford Freestyle Titanium Petrol BSIV,2019,720000,10000,Petrol,Individual,Manual,First Owner,19.0,1194.0,94.0,120.0,5.0
190,Ford Freestyle Titanium Plus Petrol BSIV,2019,700000,6000,Petrol,Individual,Manual,First Owner,19.0,1194.0,94.0,120.0,5.0
191,Ford Freestyle Trend Petrol BSIV,2019,681000,10000,Petrol,Individual,Manual,First Owner,19.0,1194.0,94.0,120.0,5.0
192,Honda Amaze S CVT Diesel BSIV,2019,700000,40000,Diesel,Individual,Automatic,First Owner,23.0,1498.0,78.0,160.0,5.0
193,Honda Amaze S CVT Diesel BSIV,2019,700000,40000,Diesel,Individual,Automatic,First Owner,23.0,1498.0,78.0,160.0,5.0
194,Honda Amaze S CVT Petrol BSIV,2019,680000,15000,Petrol,Individual,Automatic,First Owner,19.0,1199.0,88.0,110.0,5.0
195,Honda Amaze S i-VTEC,2019,690000,1303,Petrol,Dealer,Manual,First Owner,17.0,1198.0,86.0,109.0,5.0
196,Honda Amaze S i-VTEC,2019,690000,1303,Petrol,Dealer,Manual,First Owner,17.0,1198.0,86.0,109.0,5.0
197,Honda Amaze S i-VTEC,2019,690000,1303,Petrol,Dealer,Manual,First Owner,17.0,1198.0,86.0,109.0,5.0
198,Honda Amaze S i-VTEC,2019,690000,1303,Petrol,Dealer,Manual,First Owner,17.0,1198.0,86.0,109.0,5.0
199,Honda Amaze S i-VTEC,2019,690000,1303,Petrol,Dealer,Manual,First Owner,17.0,1198.0,86.0,109.0,5.0
